                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.2326,                0.97777,                 1.7606,                  0.903,                0.81028,                0.81243,                0.65305,                  1.073,                 1.0196,                 1.8329,             0.00063676,             0.00063676,             0.00063676
                    114,                 1.2325,                  0.961,                 1.8067,                 0.9145,                0.80833,                0.85746,                0.65897,                 1.1063,                0.93694,                 1.8499,             0.00062969,             0.00062969,             0.00062969
                    115,                 1.2063,                0.94154,                 1.7463,                0.90976,                 0.7863,                0.82835,                0.63472,                 1.1186,                0.90483,                  1.899,             0.00062262,             0.00062262,             0.00062262
                    116,                 1.1738,                0.93216,                 1.7171,                0.94114,                 0.7875,                0.84355,                0.61888,                 1.2037,                0.89825,                  1.954,             0.00061554,             0.00061554,             0.00061554
                    117,                 1.1402,                0.90983,                 1.7391,                0.96237,                0.80238,                 0.8415,                0.63907,                  1.138,                0.84035,                 1.8784,             0.00060847,             0.00060847,             0.00060847
                    118,                 1.2104,                0.93217,                 1.7711,                 0.8962,                0.80833,                0.83457,                0.62602,                 1.1832,                0.90453,                 1.9319,             0.00060139,             0.00060139,             0.00060139
                    119,                  1.169,                0.87582,                 1.6865,                0.94696,                 0.7875,                0.83649,                0.64467,                 1.0843,                0.93244,                  1.817,             0.00059432,             0.00059432,             0.00059432
                    120,                 1.2023,                0.90156,                 1.7134,                0.95244,                0.76164,                 0.8403,                0.61677,                 1.1924,                0.93876,                 1.9292,             0.00058725,             0.00058725,             0.00058725
                    121,                  1.144,                0.86159,                 1.6964,                0.89095,                 0.7964,                0.83114,                0.62905,                 1.1568,                0.97008,                 1.9153,             0.00058017,             0.00058017,             0.00058017
                    122,                 1.1914,                 0.9641,                 1.7362,                0.94194,                0.80833,                0.82813,                0.62549,                 1.1197,                0.99905,                 1.8723,              0.0005731,              0.0005731,              0.0005731
                    123,                 1.2204,                0.93609,                 1.7696,                0.94263,                0.80119,                0.83028,                0.60467,                 1.2094,                0.96407,                 1.9439,             0.00056603,             0.00056603,             0.00056603
                    124,                 1.1765,                0.89199,                 1.7252,                0.93706,                0.80466,                0.83587,                0.63217,                 1.1557,                 0.9343,                 1.9057,             0.00055895,             0.00055895,             0.00055895
                    125,                 1.1331,                0.88105,                 1.7079,                0.93674,                 0.7875,                0.83608,                0.63069,                 1.1031,                0.92656,                 1.8678,             0.00055188,             0.00055188,             0.00055188
